Material	Angle[rad]	Betax[m]	Name	Halfgap[m]	Length[m]	Thickness[m]	Betay[m]	nsigma
ss304L	1.57079632679	621.340403112	XRPV.B6L5.B2	0.00034025195241	0.054	0.1	37.3761498396	0.000137416541405
ss304L	0.0	635.598080023	XRPH.B6L5.B2	0.00996949577332	0.054	0.1	37.1343260496	0.000566673652985
ss304L	0.0	764.20215341	XRPH.E6L5.B2	0.0413104171753	0.054	0.1	35.5400187754	0.00062136367564
ss304L	0.0	786.536708364	XRPH.A6L5.B2	0.0419629402161	0.054	0.1	35.3588086835	0.000630378265334
ss304L	1.57079632679	802.574715012	XRPV.A6L5.B2	0.0432816238403	0.054	0.1	35.2442590729	0.000133439966764
ss304L	1.57079632679	862.087595591	XRPV.D6L5.B2	0.00086304217577	0.054	0.1	34.9262686146	0.000132836623363
ss304L	0.0	878.876718401	XRPH.D6L5.B2	0.00999364948273	0.054	0.1	34.865415626	0.000666355079593
ss304L	0.0	1237.35846436	XRPH.C6L5.B2	0.0421722640991	0.054	0.1	35.9873183391	0.000790659510784
ss304L	1.57079632679	1257.46522783	XRPV.C6L5.B2	0.0030217051506	0.054	0.1	36.1636405123	0.000135169218964
ss304L	1.57079632679	216.059397068	XRPV.B7L1.B2	0.00255863070488	0.054	0.1	37.6313495415	0.00013788487486
ss304L	1.57079632679	251.969211608	XRPV.A7L1.B2	0.0030358247757	0.054	0.1	42.5242585571	0.000146575069128
